Add new reader 2021-05-12 17:33:36.292
Add new publisher 2021-05-12 17:35:06.007
Add new reader,2021-05-12 17:38:17.725
See all forms,2021-05-12 18:14:17.136
Calculate the average salary,2021-05-12 18:14:58.276
Add new Librarian,2021-05-25 21:13:52.947
Add new Librarian,2021-05-25 21:15:16.501
Add new Librarian,2021-05-25 21:16:22.345
Add new Librarian,2021-05-25 21:17:03.232
Add new Librarian,2021-05-25 21:17:45.456
Add new Librarian,2021-05-25 21:19:29.972
Add new Librarian,2021-05-25 21:55:55.365
Add new Librarian,2021-05-25 21:57:00.989
Add new Librarian,2021-05-25 22:02:20.816
Add new Librarian,2021-05-25 22:09:10.883
Add new Librarian,2021-05-25 22:10:11.049
Add new Librarian,2021-05-25 22:12:25.88
Add new Librarian,2021-05-25 22:29:01.892
Add new Librarian,2021-05-25 22:31:57.385
Add new Librarian,2021-05-25 22:37:35.451
Add new Librarian,2021-05-25 22:41:02.109
Add new Librarian,2021-05-25 22:44:32.333
Add new Librarian,2021-05-25 22:46:36.826
Add new Librarian,2021-05-25 22:46:59.275
Calculate the average salary,2021-05-26 01:36:15.601
See all forms,2021-05-26 01:36:27.81
Increases the salary of librarians,2021-05-26 01:36:38.243
Increases the salary of librarians,2021-05-26 01:37:45.302
See all readers,2021-05-26 01:40:36.251
See all books,2021-05-26 01:40:45.93
See all publishers,2021-05-26 01:40:52.824
See all books,2021-05-26 05:37:12.859
Add new Librarian,2021-05-26 05:38:00.247
See all readers,2021-05-26 05:48:05.387
See all publishers,2021-05-26 05:56:52.647
See all books,2021-05-26 05:57:00.487
See all readers,2021-05-26 05:57:09.122
